Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
"Monday, June 29, 2026",2805,85.29,27.202,348.8,20.94,129.73,155.67,2692.05,541,2141
"Tuesday, June 30, 2026",3622,124.36,36.287,452.46,23.48,109.84,165.08,2585.72,558.7,1941
"Wednesday, July 1, 2026",2861,77.33,32.702,402.4,23.3,69.54,136.5,1926.5,957.25,1836
"Thursday, July 2, 2026",360,19.5,11.19,27.12,0,31.56,19.32,240,60,858
"Friday, July 3, 2026",1416,61.53,9.712,147.34,9.7,41.83,63.99,1122.95,12.5,358
"Saturday, July 4, 2026",360,19.5,11.19,27.12,0,31.56,19.32,240,60,858
"Sunday, July 5, 2026",360,19.5,11.19,27.12,0,31.56,19.32,240,60,858
"Monday, July 6, 2026",3153,116.37,47.566,372.73,14.66,87.52,141.46,3926.48,150.7,1099
"Tuesday, July 7, 2026",2424,94.86,30.098,244.26,12.04,53.53,172.94,2968.73,633.5,2183
"Wednesday, July 8, 2026",1121,55.14,25.577,116.47,2.24,55.5,34.57,1354,450,604
"Thursday, July 9, 2026",3257,99.77,32.456,425.95,23.54,91.17,161.2,2782.6,1289,2383
"Friday, July 10, 2026",3404,94.72,28.524,422.84,20.62,74.57,197.1,2353.85,724,3303
